iter	MAE
0	6837642.716
1	6739057.179
2	6648273.203
3	6561302.663
4	6490304.63
5	6405313.865
6	6347739.394
7	6269313.206
8	6205856.313
9	6144043.522
10	6088513.882
11	6020073.518
12	5956832.363
13	5908509.637
14	5864442.616
15	5809883.966
16	5766386.53
17	5720652.047
18	5674106.412
19	5627443.083
20	5588108.181
21	5548807.723
22	5509031.277
23	5473292.238
24	5441627.384
25	5407107.808
26	5381389.821
27	5350833.24
28	5321466.755
29	5296080.877
30	5265562.2
31	5241406.948
32	5215316.484
33	5194698.312
34	5170475.177
35	5149488.716
36	5126628.823
37	5110697.131
38	5093599.988
39	5084213.634
40	5068521.194
41	5052361.032
42	5040607.572
43	5024981.389
44	5009514.856
45	4992408.851
46	4976972.52
47	4961930.758
48	4951807.467
49	4943248.348
50	4930421.71
51	4916025.882
52	4903192.767
53	4894536.779
54	4882594.942
55	4871633.391
56	4859849.587
57	4849254.507
58	4836417.69
59	4826222.618
60	4819094.858
61	4809768.096
62	4800656.521
63	4795791.516
64	4789050.991
65	4782238.523
66	4777424.223
67	4772342.695
68	4765703.691
69	4763549.874
70	4759932.476
71	4756884.332
72	4753846.465
73	4748292.842
74	4744661.291
75	4742025.97
76	4736294.203
77	4731250.091
78	4727935.947
79	4722202.735
80	4718340.705
81	4713772.781
82	4709204.36
83	4705537.965
84	4703590.308
85	4700012.729
86	4696234.473
87	4693943.997
88	4691333.703
89	4687908.882
90	4685849.237
91	4684561.004
92	4679884.721
93	4677643.2
94	4676710.562
95	4673185.495
96	4671848.358
97	4670601.188
98	4669641.291
99	4667507.103
100	4663407.532
101	4660811.156
102	4658184.289
103	4654266.964
104	4653568.601
105	4652615.798
106	4649876.529
107	4646948.844
108	4643541.333
109	4642770.683
110	4640761.745
111	4638006.861
112	4634065.553
113	4632422.976
114	4630692.625
115	4628588.982
116	4626365.574
117	4624629.439
118	4622486.327
119	4621819.468
120	4620648.509
121	4617305.873
122	4616464.856
123	4615832.183
124	4613524.341
125	4613037.94
126	4612537.118
127	4609973.492
128	4608014.695
129	4606741.073
130	4604109.744
131	4603546.069
132	4602964.854
133	4602345.887
134	4601574.811
135	4600591.573
136	4599013.571
137	4595007.05
138	4592463.387
139	4591317.011
140	4589820.694
141	4588873.475
142	4586570.778
143	4582097.934
144	4581561.948
145	4581412.811
146	4580921.017
147	4580514.232
148	4578441.12
149	4577946.627
150	4577705.195
151	4577228.412
152	4576766.114
153	4576385.085
154	4576225.721
155	4575959.541
156	4575365.499
157	4575094.391
158	4574537.052
159	4571931.606
160	4567969.568
161	4567408.775
162	4567294.219
163	4566151.038
164	4565220.812
165	4562978.106
166	4561935.083
167	4557667.463
168	4557449.857
169	4556508.57
170	4556023.321
171	4555573.337
172	4555219.293
173	4554900.791
174	4554804.073
175	4554593.408
176	4554413.82
177	4554017.513
178	4552781.297
179	4552588.909
180	4552461.462
181	4551598.282
182	4550858.614
183	4550563.718
184	4549147.252
185	4548916.791
186	4547505.376
187	4546260.795
188	4545952.174
189	4543489.687
190	4543097.346
191	4541029.145
192	4540691.322
193	4540478.85
194	4538978.589
195	4538798.856
196	4538617.094
197	4538387.325
198	4537708.115
199	4533592.165
200	4533409.876
201	4532014.639
202	4530676.229
203	4530597.54
204	4530369.833
205	4529064.175
206	4528475.44
207	4528311.923
208	4527857.288
209	4525909.363
210	4525234.91
211	4524775.334
212	4524422.645
213	4524093.74
214	4523874.841
215	4523074.533
216	4522552.906
217	4520652.499
218	4520557.98
219	4519824.503
220	4517978.312
221	4517793.58
222	4516384.874
223	4515932.011
224	4515796.27
225	4515404.832
226	4515185.007
227	4514951.822
228	4514005.276
229	4511870.889
230	4511681.807
231	4510195.769
232	4506946.797
233	4505039.948
234	4502970.617
235	4502128.154
236	4500055.649
237	4495634.991
238	4493919.621
239	4493792.551
240	4492358.78
241	4491911.574
242	4488413.225
243	4487991.205
244	4485127.928
245	4484520.246
246	4484151.167
247	4483834.41
248	4483514.068
249	4483389.617
250	4482101.96
251	4481583.017
252	4481380.322
253	4481242.271
254	4478550.184
255	4478509.515
256	4478389.293
257	4475966.272
258	4474629.789
259	4472188.651
260	4469785.272
261	4467738.481
262	4467601.175
263	4467265.988
264	4467163.337
265	4466993.162
266	4464587.054
267	4464351.925
268	4464238.343
269	4464062.887
270	4463837.865
271	4460643.5
272	4456563.738
273	4453009.771
274	4452842.228
275	4450855.195
276	4450065.527
277	4449972.567
278	4446228.221
279	4445923.364
280	4445458.374
281	4443578.809
282	4442305.694
283	4442102.478
284	4438763.82
285	4438579.984
286	4435810.637
287	4432428.618
288	4429069.344
289	4428965.738
290	4427149.923
291	4426990.952
292	4425276.666
293	4423383.03
294	4421215.29
295	4418992.686
296	4418882.733
297	4417408.628
298	4416617.623
299	4416496.132
300	4415713.376
301	4415620.749
302	4415398.996
303	4414541.201
304	4414419.041
305	4414053.51
306	4413643.855
307	4413594.732
308	4412893.841
309	4412662.09
310	4412535.094
311	4407110.615
312	4405050.414
313	4401360.395
314	4401118.275
315	4399473.508
316	4395295.812
317	4394850.905
318	4393284.053
319	4392906.843
320	4392743.135
321	4388531.127
322	4386592.376
323	4386357.554
324	4383119.176
325	4379737.352
326	4377613.118
327	4373850.227
328	4369859.054
329	4365813.698
330	4363657.536
331	4362810.538
332	4359323.803
333	4359159.179
334	4358995.642
335	4357492.34
336	4354875.017
337	4349943.165
338	4347574.77
339	4344760.995
340	4339672.337
341	4338200.14
342	4338139.547
343	4333432.739
344	4329711.327
345	4327400.81
346	4327288.583
347	4327147.987
348	4326760.213
349	4323434.393
350	4323232.996
351	4323072.33
352	4322933.749
353	4319611.556
354	4318901.952
355	4315084.908
356	4311209.91
357	4307768.904
358	4307518.346
359	4301769.332
360	4297882.524
361	4294325.297
362	4289117.231
363	4288984.488
364	4288193.569
365	4287922.308
366	4285336.44
367	4283049.243
368	4282939.008
369	4280526.17
370	4275885.761
371	4275351.225
372	4275242.498
373	4275098.767
374	4274928.104
375	4271047.407
376	4270851.87
377	4266434.934
378	4263705.942
379	4261536.38
380	4257905.818
381	4255895.092
382	4255765.315
383	4253728.931
384	4251904.955
385	4251780.13
386	4251287.043
387	4250628.776
388	4250362.242
389	4245397.285
390	4245332.765
391	4245193.996
392	4244604.55
393	4244400.549
394	4243968.673
395	4243831.186
396	4243654.535
397	4242718.116
398	4242563.933
399	4239560.315
400	4239460.445
401	4234863.377
402	4234735.566
403	4234395.439
404	4231527.164
405	4226823.603
406	4225010.552
407	4221656.78
408	4216905.867
409	4216564.736
410	4215566.283
411	4215238.416
412	4214474.115
413	4213671.682
414	4213533.643
415	4209028.246
416	4208570.252
417	4208228.764
418	4203173.502
419	4200922.472
420	4200506.137
421	4196808.384
422	4196591.178
423	4193627.273
424	4193122.838
425	4191205.038
426	4189591.514
427	4186149.587
428	4186001.099
429	4185853.704
430	4183315.637
431	4183111.617
432	4182730.143
433	4182612.989
434	4179144.829
435	4179006.511
436	4176918.562
437	4176638.012
438	4176505.969
439	4176211.351
440	4171736.204
441	4169747.696
442	4167585.344
443	4167507.22
444	4165546.782
445	4165019.388
446	4163770.846
447	4163670.032
448	4161804.597
449	4159281.296
450	4155680.452
451	4155393.835
452	4155159.636
453	4154922.89
454	4154606.743
455	4154472.559
456	4154295.261
457	4153445.772
458	4153331.608
459	4150081.335
460	4149146.315
461	4148719.132
462	4147780.832
463	4146949.453
464	4146690.839
465	4146557.51
466	4144905.553
467	4144794.122
468	4141576.879
469	4140463.204
470	4140354.889
471	4138771.865
472	4138675.159
473	4136351.772
474	4136016.339
475	4132875.931
476	4132420.228
477	4130790.411
478	4128736.67
479	4128524.577
480	4124006.422
481	4119532.834
482	4119340.314
483	4118684.997
484	4116699.678
485	4116111.734
486	4115946.469
487	4113523.941
488	4113192.299
489	4110410.529
490	4107792.444
491	4107675.235
492	4104699.209
493	4102934.742
494	4098995.499
495	4098053.709
