iter	Passed	Remaining
0	58	58207
1	59	29799
2	61	20312
3	62	15543
4	64	12738
5	65	10813
6	66	9435
7	67	8393
8	68	7592
9	70	6933
10	71	6397
11	72	5947
12	73	5573
13	74	5238
14	75	4958
15	76	4705
16	77	4487
17	78	4286
18	79	4108
19	80	3946
20	81	3800
21	82	3668
22	83	3547
23	84	3433
24	85	3329
25	86	3230
26	87	3142
27	88	3062
28	89	2991
29	90	2922
30	91	2853
31	92	2788
32	93	2728
33	93	2669
34	94	2615
35	95	2564
36	96	2516
37	97	2469
38	98	2427
39	99	2386
40	100	2343
41	101	2305
42	102	2273
43	103	2238
44	103	2202
45	104	2168
46	105	2135
47	106	2102
48	106	2072
49	107	2042
50	108	2014
51	109	1987
52	109	1960
53	110	1935
54	111	1910
55	111	1885
56	112	1862
57	113	1838
58	113	1817
59	114	1796
60	115	1776
61	116	1756
62	116	1736
63	117	1717
64	118	1698
65	119	1684
66	119	1669
67	120	1655
68	121	1641
69	122	1631
70	123	1615
71	124	1601
72	124	1586
73	125	1570
74	126	1556
75	126	1542
76	127	1528
77	128	1514
78	128	1501
79	129	1488
80	130	1476
81	130	1463
82	131	1452
83	132	1441
84	132	1429
85	133	1418
86	134	1409
87	135	1402
88	136	1397
89	137	1387
90	138	1386
91	139	1377
92	140	1367
93	140	1358
94	141	1348
95	142	1339
96	142	1330
97	143	1321
98	144	1312
99	144	1303
100	145	1295
101	146	1287
102	146	1278
103	147	1271
104	148	1263
105	148	1256
106	149	1249
107	150	1241
108	150	1234
109	151	1227
110	152	1219
111	152	1212
112	153	1205
113	154	1199
114	155	1192
115	155	1186
116	156	1180
117	157	1173
118	157	1167
119	158	1161
120	159	1155
121	159	1149
122	160	1143
123	161	1138
124	161	1132
125	162	1126
126	163	1120
127	163	1115
128	164	1109
129	164	1104
130	165	1098
131	166	1093
132	166	1088
133	167	1083
134	168	1078
135	169	1073
136	169	1069
137	170	1064
138	170	1059
139	171	1054
140	172	1050
141	173	1045
142	173	1041
143	174	1036
144	175	1032
145	175	1027
146	176	1023
147	177	1019
148	177	1014
149	178	1010
150	179	1006
151	179	1002
152	180	998
153	180	994
154	181	991
155	182	990
156	184	989
157	184	985
158	186	984
159	186	981
160	187	977
161	188	974
162	189	971
163	189	967
164	190	964
165	191	960
166	191	957
167	192	954
168	193	950
169	194	947
170	194	943
171	195	940
172	196	937
173	196	933
174	197	930
175	198	927
176	198	923
177	199	920
178	200	917
179	200	914
180	201	911
181	201	907
182	202	904
183	203	901
184	204	898
185	204	896
186	205	893
187	206	890
188	206	887
189	207	884
190	208	881
191	208	878
192	209	875
193	210	872
194	210	870
195	211	867
196	212	865
197	212	862
198	213	860
199	214	857
200	215	854
201	215	851
202	216	849
203	217	846
204	217	844
205	218	841
206	219	839
207	219	836
208	220	834
209	221	832
210	222	830
211	222	828
212	223	825
213	224	823
214	224	821
215	225	819
216	226	816
217	227	814
218	227	812
219	228	810
220	229	807
221	229	805
222	230	803
223	231	801
224	231	799
225	232	796
226	233	794
227	234	792
228	234	790
229	235	787
230	236	785
231	236	783
232	237	781
233	238	779
234	238	777
235	239	775
236	240	773
237	240	770
238	241	768
239	242	766
240	242	764
241	243	762
242	244	760
243	244	758
244	245	756
245	246	754
246	246	752
247	247	750
248	248	748
249	249	747
250	249	745
251	250	743
252	251	741
253	251	739
254	252	737
255	253	735
256	253	733
257	254	732
258	255	730
259	255	728
260	256	726
261	257	724
262	257	722
263	258	721
264	259	719
265	260	717
266	260	715
267	261	713
268	262	712
269	262	710
270	263	708
271	264	706
272	264	705
273	265	703
274	266	701
275	266	699
276	267	698
277	268	696
278	268	694
279	269	692
280	270	691
281	270	689
282	271	687
283	272	686
284	272	684
285	273	682
286	274	680
287	274	679
288	275	677
289	276	675
290	276	674
291	277	672
292	278	671
293	278	669
294	279	667
295	280	666
296	280	664
297	281	662
298	282	661
299	282	659
300	283	658
301	284	656
302	284	655
303	285	653
304	286	652
305	287	651
306	288	650
307	289	649
308	289	648
309	290	647
310	291	645
311	292	644
312	293	643
313	293	641
314	294	640
315	295	639
316	296	637
317	296	636
318	297	634
319	297	633
320	298	631
