,ID,country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,payment_mode,first_trip_tz,most_impressing,total_cost,group_size,night_total
0,tour_0,switzerland,45-64,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,13,0,Cash,0,Friendly People,674602.5,2,13
1,tour_10,united kingdom,25-44,Alone,1,0,Leisure and Holidays,Cultural tourism,others,0,0,0,0,0,0,0,0,14,7,Cash,1,"Wonderful Country, Landscape, Nature",3214906.5,1,21
2,tour_1000,united kingdom,25-44,Alone,0,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",0,0,0,0,0,0,0,0,1,31,Cash,0,Excellent Experience,3315000.0,1,32
3,tour_1002,united kingdom,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,0,1,1,1,1,1,0,11,0,Cash,1,Friendly People,7790250.0,2,11
4,tour_1004,china,1-24,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,7,4,Cash,1,No comments,1657500.0,1,11
5,tour_1005,united kingdom,25-44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,0,0,0,0,1,1,0,9,3,Cash,1, Wildlife,120950.0,1,12
6,tour_1007,south africa,45-64,Alone,0,1,Business,Mountain climbing,"Friends, relatives",0,0,0,0,0,0,0,0,9,0,Cash,1,Friendly People,466140.0,1,9
7,tour_1008,united states of america,45-64,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,1,1,1,10,3,Cash,1,Friendly People,3480750.0,2,13
8,tour_101,nigeria,25-44,Alone,0,1,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,4,0,Cash,1,Friendly People,994500.0,1,4
9,tour_1011,india,25-44,Alone,1,0,Business,Wildlife tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,5,0,Credit Card,1,Friendly People,2486250.0,1,5
10,tour_1012,brazil,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,17,3,Cash,1,"Wonderful Country, Landscape, Nature",1117155.0,2,20
11,tour_1013,canada,45-64,Children,2,0,Leisure and Holidays,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,30,0,Cash,0,Excellent Experience,8121750.0,2,30
12,tour_1016,canada,45-64,Children,0,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,11,3,Cash,1,No comments,331500.0,2,14
13,tour_1017,malta,25-44,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",1,1,1,1,1,0,0,0,10,0,Cash,1,No comments,11346650.0,2,10
14,tour_1018,mozambique,25-44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,2,0,Cash,1, Wildlife,497250.0,1,2
15,tour_102,rwanda,65+,Alone,1,0,Leisure and Holidays,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,0,2,Cash,1,"Wonderful Country, Landscape, Nature",331500.0,1,2
16,tour_1021,austria,45-64,Friends/Relatives,4,1,Visiting Friends and Relatives,Mountain climbing,"Friends, relatives",0,0,0,0,0,0,0,0,24,0,Cash,0,Friendly People,2000000.0,5,24
17,tour_1022,myanmar,25-44,Alone,1,0,Meetings and Conference,Wildlife tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,5,0,Cash,1,Friendly People,331500.0,1,5
18,tour_1024,germany,25-44,Children,1,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",0,0,0,0,0,0,0,0,3,0,Cash,1,Friendly People,2269330.0,2,3
