,ID,country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,payment_mode,first_trip_tz,most_impressing,group_size,night_total
0,tour_1,AUSTRALIA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,1,1,1,10,3,Cash,1, Wildlife,2,13
1,tour_100,SOUTH AFRICA,25-44,Friends/Relatives,0,4,Business,Wildlife tourism,Tanzania Mission Abroad,1,1,1,0,0,0,0,0,13,0,Cash,0,"Wonderful Country, Landscape, Nature",4,13
2,tour_1001,GERMANY,25-44,Friends/Relatives,3,0,Leisure and Holidays,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,7,14,Cash,0,No comments,3,21
3,tour_1006,CANADA,24-Jan,Friends/Relatives,2,0,Leisure and Holidays,Cultural tourism,others,0,0,0,0,0,0,0,0,0,4,Cash,1,Friendly People,2,4
4,tour_1009,UNITED KINGDOM,45-64,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",1,1,1,1,1,0,0,0,10,0,Cash,1,Friendly People,4,10
5,tour_1010,DENMARK,25-44,Alone,1,0,Volunteering,Cultural tourism,"Friends, relatives",0,0,0,0,0,0,0,0,55,0,Cash,0,Good service,1,55
6,tour_1014,GERMANY,45-64,Alone,0,1,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",1,0,1,1,1,0,1,0,9,0,Cash,1,Friendly People,1,9
7,tour_1015,RUSSIA,24-Jan,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,26,3,Cash,0,Friendly People,1,29
8,tour_1019,GERMANY,24-Jan,Alone,1,0,Leisure and Holidays,Cultural tourism,"Friends, relatives",0,0,0,0,0,0,0,0,3,0,Cash,0,Friendly People,1,3
9,tour_1020,FRANCE,24-Jan,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",0,0,0,0,0,0,0,0,30,9,Cash,1,Friendly People,2,39
10,tour_1023,SPAIN,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,0,0,1,6,4,Cash,1, Wildlife,2,10
11,tour_1025,UNITED KINGDOM,25-44,Spouse and Children,1,2,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",1,1,1,1,1,1,1,0,6,6,Cash,1,Friendly People,3,12
12,tour_1031,SWITZERLAND,45-64,Spouse and Children,4,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,1,1,0,10,7,Cash,1, Wildlife,5,17
13,tour_1037,UNITED STATES OF AMERICA,24-Jan,Friends/Relatives,1,1,Scientific and Academic,Cultural tourism,"Friends, relatives",0,0,0,0,0,0,0,0,30,0,Cash,0,No comments,2,30
14,tour_1044,GERMANY,25-44,Alone,0,1,Leisure and Holidays,business,"Friends, relatives",1,0,1,1,1,0,0,0,6,0,Cash,1,No comments,1,6
15,tour_1053,CANADA,45-64,Spouse and Children,4,1,Visiting Friends and Relatives,Wildlife tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,21,0,Cash,0,Friendly People,5,21
16,tour_1056,SPAIN,25-44,Friends/Relatives,0,2,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",0,0,0,0,0,0,0,0,10,6,Cash,1,"Wonderful Country, Landscape, Nature",2,16
17,tour_106,CHINA,25-44,Friends/Relatives,2,2,Visiting Friends and Relatives,Mountain climbing,Trade fair,1,0,1,1,1,0,0,0,7,0,Cash,0,No comments,4,7
18,tour_1064,UNITED KINGDOM,25-44,Spouse and Children,4,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,30,0,Cash,0,"Wonderful Country, Landscape, Nature",5,30
19,tour_1069,UNITED KINGDOM,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",1,1,1,0,1,1,1,0,6,7,Cash,1, Wildlife,2,13
20,tour_1077,INDIA,45-64,Alone,0,1,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,7,0,Cash,0,Friendly People,1,7
21,tour_1084,GERMANY,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,others,0,0,0,0,0,0,0,0,5,0,Cash,0, Wildlife,2,5
22,tour_1087,ZAMBIA,45-64,Alone,0,1,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",1,1,1,1,1,0,1,0,3,0,Cash,1,Friendly People,1,3
23,tour_1089,INDIA,25-44,Alone,0,1,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,2,0,Cash,1,Good service,1,2
24,tour_1091,NEW ZEALAND,65+,Alone,0,1,Visiting Friends and Relatives,Wildlife tourism,others,0,0,0,0,0,0,0,0,6,0,Cash,1,Friendly People,1,6
25,tour_1093,GERMANY,25-44,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,others,0,0,0,0,0,0,0,0,12,15,Cash,1,"Wonderful Country, Landscape, Nature",2,27
26,tour_1094,UNITED KINGDOM,45-64,Alone,0,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",0,0,0,0,0,0,0,0,13,2,Cash,1,"Wonderful Country, Landscape, Nature",1,15
27,tour_110,CHINA,25-44,Alone,0,1,Business,Mountain climbing,"Friends, relatives",0,0,0,0,0,0,0,0,3,0,Cash,0,Friendly People,1,3
28,tour_1100,COMORO,25-44,Spouse,1,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,0,5,Cash,0,"Wonderful Country, Landscape, Nature",2,5
29,tour_1101,UNITED STATES OF AMERICA,45-64,Friends/Relatives,4,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,0,0,0,10,3,Cash,1,No comments,4,13
30,tour_1105,UNITED KINGDOM,24-Jan,Alone,0,1,Leisure and Holidays,Cultural tourism,"Radio, TV, Web",1,0,1,1,1,1,1,1,15,0,Cash,0,No comments,1,15
31,tour_1106,SWITZERLAND,25-44,Alone,0,1,Leisure and Holidays,Conference tourism,"Newspaper, magazines,brochures",1,1,1,1,1,0,0,0,11,3,Credit Card,1,No comments,1,14
32,tour_111,NETHERLANDS,24-Jan,Alone,1,0,Visiting Friends and Relatives,Beach tourism,others,0,0,0,0,0,0,0,0,33,0,Cash,0,Friendly People,1,33
33,tour_1112,UNITED STATES OF AMERICA,25-44,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,1,1,1,12,3,Credit Card,1,"Wonderful Country, Landscape, Nature",2,15
34,tour_1113,SPAIN,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,0,1,1,1,5,3,Cash,1, Wildlife,2,8
35,tour_1114,MALAYSIA,25-44,Alone,0,1,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,3,0,Credit Card,0,Good service,1,3
36,tour_1117,KENYA,25-44,Alone,1,0,Meetings and Conference,business,"Newspaper, magazines,brochures",0,0,0,0,0,0,0,0,15,0,Cash,0,Friendly People,1,15
37,tour_1119,UNITED KINGDOM,45-64,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,19,0,Cash,0,Friendly People,2,19
38,tour_1127,ITALY,45-64,Friends/Relatives,0,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,7,7,Cash,1, Wildlife,2,14
39,tour_1140,UNITED KINGDOM,25-44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,30,0,Cash,0,Friendly People,1,30
40,tour_1141,UNITED STATES OF AMERICA,45-64,Alone,0,1,Leisure and Holidays,Cultural tourism,others,0,0,0,0,0,0,0,0,1,5,Cash,1,Friendly People,1,6
41,tour_1143,UNITED KINGDOM,45-64,Spouse and Children,1,2,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,14,0,Cash,0,"Wonderful Country, Landscape, Nature",3,14
42,tour_1145,UNITED STATES OF AMERICA,25-44,Alone,0,1,Business,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,6,0,Cash,1,Satisfies and Hope Come Back,1,6
43,tour_1148,FINLAND,25-44,Alone,1,0,Leisure and Holidays,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,2,5,Cash,1,"Wonderful Country, Landscape, Nature",1,7
44,tour_1153,MALAWI,25-44,Alone,1,0,Other,Hunting tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,14,0,Cash,1,Friendly People,1,14
45,tour_1156,UNITED KINGDOM,24-Jan,Alone,1,0,Volunteering,Wildlife tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,27,3,Cash,1,Friendly People,1,30
46,tour_1157,CHINA,24-Jan,Alone,1,0,Volunteering,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,40,3,Cash,1, Wildlife,1,43
47,tour_1160,UNITED STATES OF AMERICA,45-64,Alone,0,1,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,5,0,Cash,0,Friendly People,1,5
48,tour_1169,FRANCE,45-64,Children,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,0,1,0,1,1,1,0,5,3,Cash,0,Friendly People,2,8
49,tour_1170,CHINA,24-Jan,Alone,1,0,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,30,0,Cash,1, Wildlife,1,30
50,tour_1177,UNITED STATES OF AMERICA,25-44,Alone,0,1,Business,Wildlife tourism,Trade fair,0,0,0,0,0,0,0,0,2,0,Credit Card,1,No comments,1,2
51,tour_1180,GERMANY,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,others,0,0,0,0,0,0,0,0,5,5,Cash,1,No comments,2,10
52,tour_1185,UNITED KINGDOM,24-Jan,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",1,0,1,1,1,0,0,0,14,0,Cash,1,No comments,1,14
53,tour_1187,CHINA,45-64,Friends/Relatives,0,2,Business,Mountain climbing,"Friends, relatives",0,0,0,0,0,0,0,0,7,0,Cash,0,No comments,2,7
55,tour_119,BELGIUM,24-Jan,Friends/Relatives,3,0,Leisure and Holidays,Beach tourism,"Radio, TV, Web",1,0,1,1,0,0,1,1,10,13,Cash,1,No comments,3,23
56,tour_1199,CANADA,45-64,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,7,0,Cash,0,Friendly People,1,7
